x-axis,1,2
second,Volt,Volt
-250.0000E-09,-8.0402009189E-03,-31.5000005066E-03
-249.2188E-09,-8.0402009189E-03,-31.5000005066E-03
-248.4375E-09,-16.0804018378E-03,-31.5000005066E-03
-247.6563E-09,-16.0804018378E-03,-31.5000005066E-03
-246.8750E-09,-16.0804018378E-03,-31.5000005066E-03
-246.0938E-09,-16.0804018378E-03,-31.5000005066E-03
-245.3125E-09,-16.0804018378E-03,-31.5000005066E-03
-244.5313E-09,-16.0804018378E-03,-31.5000005066E-03
-243.7500E-09,-15.5778892804E-03,-31.5000005066E-03
-242.9688E-09,-12.0603013784E-03,-31.5000005066E-03
-242.1875E-09,-8.0402009189E-03,-31.5000005066E-03
-241.4063E-09,-8.0402009189E-03,-31.5000005066E-03
-240.6250E-09,-16.0804018378E-03,-31.5000005066E-03
-239.8438E-09,-16.0804018378E-03,-31.5000005066E-03
-239.0625E-09,-16.0804018378E-03,-31.5000005066E-03
-238.2813E-09,-16.0804018378E-03,-31.5000005066E-03
-237.5000E-09,-16.0804018378E-03,-31.5000005066E-03
-236.7188E-09,-16.0804018378E-03,-31.5000005066E-03
-235.9375E-09,-16.0804018378E-03,-31.5000005066E-03
-235.1563E-09,-16.0804018378E-03,-31.5000005066E-03
-234.3750E-09,-16.0804018378E-03,-31.5000005066E-03
-233.5938E-09,-16.0804018378E-03,-31.5000005066E-03
-232.8125E-09,-16.0804018378E-03,-31.5000005066E-03
-232.0313E-09,-15.5778892804E-03,-31.5000005066E-03
-231.2500E-09,-8.0402009189E-03,-31.5000005066E-03
-230.4688E-09,-8.0402009189E-03,-31.5000005066E-03
-229.6875E-09,-8.0402009189E-03,-31.5000005066E-03
-228.9063E-09,-12.5628139358E-03,-31.5000005066E-03
-228.1250E-09,-16.0804018378E-03,-31.5000005066E-03
-227.3438E-09,-16.0804018378E-03,-31.5000005066E-03
-226.5625E-09,-16.0804018378E-03,-31.5000005066E-03
-225.7813E-09,-16.0804018378E-03,-31.5000005066E-03
-225.0000E-09,-16.0804018378E-03,-31.5000005066E-03
-224.2188E-09,-16.0804018378E-03,-31.5000005066E-03
-223.4375E-09,-15.5778892804E-03,-31.5000005066E-03
-222.6563E-09,-8.0402009189E-03,-31.5000005066E-03
-221.8750E-09,-8.0402009189E-03,-31.5000005066E-03
-221.0938E-09,-8.0402009189E-03,-31.5000005066E-03
-220.3125E-09,-8.0402009189E-03,-31.5000005066E-03
-219.5313E-09,-8.0402009189E-03,-31.5000005066E-03
-218.7500E-09,-8.0402009189E-03,-31.5000005066E-03
